m,scheme,L2_error
20,DRP,0.0641246568104514
20,DRP-M,0.0246658697832097
20,MDCD,0.0412165984002652
20,SA-DRP,0.0017175588316114
40,DRP,0.1198121112221043
40,DRP-M,0.109297617126472
40,MDCD,0.1052750923836162
40,SA-DRP,0.051536344638287
60,DRP,0.1039701529127227
60,DRP-M,0.1028591141410349
60,MDCD,0.088450356553253
60,SA-DRP,0.0696088156585395
80,DRP,0.0895225604325939
80,DRP-M,0.0912017036243777
80,MDCD,0.0772218282403068
80,SA-DRP,0.0661909537840435
100,DRP,0.0796991340240692
100,DRP-M,0.0824844881962454
100,MDCD,0.06940068360136137
100,SA-DRP,0.06146840103323847
120,DRP,0.07458693591636749
120,DRP-M,0.07520790979317679
120,MDCD,0.06355473846055108
120,SA-DRP,0.05754656432093734
