scheme,N,L1_error,observed_order
DRP,64,0.1291710683552999,
DRP,128,0.09918277750247524,0.3811214403105875
DRP,256,0.06731727812883767,0.5591127822939594
DRP,512,0.011411772910115605,2.560453901437708
DRP,1024,0.0008647964589165762,3.722018517338143
DRP-M,64,0.1330642152013083,
DRP-M,128,0.10688495208622546,0.31606388520485706
DRP-M,256,0.019829642731722136,2.4303281659191347
DRP-M,512,0.004008714688515286,2.30644703934198
DRP-M,1024,0.00035109503252136955,3.513206251022494
MDCD,64,0.08557623950546729,
MDCD,128,0.07741717647436151,0.14455659246260325
MDCD,256,0.0333942314258463,1.2130547805220515
MDCD,512,0.007078510337453866,2.238081226499302
MDCD,1024,0.0005633035480249895,3.6514613154278193
SA-DRP,64,0.09553348126443395,
SA-DRP,128,0.10275361932050564,-0.10511086841115634
SA-DRP,256,0.043219090104524335,1.249448606828876
SA-DRP,512,0.0016659956342765063,4.697212174071524
SA-DRP,1024,2.8818062846717638e-05,5.853267449260206
