scheme,N,L1_error
DRP,64,0.1291710683552999
DRP,128,0.09918277750247524
DRP,256,0.06731727812883767
DRP,512,0.011411772910115605
DRP,960,0.0011111457544979648
DRP,992,0.0009790762088493611
DRP-M,64,0.1330642152013083
DRP-M,128,0.10688495208622546
DRP-M,256,0.019829642731722136
DRP-M,512,0.004008714688515286
DRP-M,768,0.001023785090584431
DRP-M,800,0.0008825271710052764
MDCD,64,0.08557623950546729
MDCD,128,0.07741717647436151
MDCD,256,0.0333942314258463
MDCD,512,0.007078510337453866
MDCD,864,0.001078784962535862
MDCD,896,0.0009392410031057649
SA-DRP,64,0.09553348126443395
SA-DRP,128,0.10275361932050564
SA-DRP,256,0.043219090104524335
SA-DRP,512,0.0016659956342765063
SA-DRP,544,0.0011765058257604745
SA-DRP,576,0.0008423672995603055
UW1,512,0.08905727112808251
UW1,1024,0.08855661140146723
UW1,1536,0.08751861718849778
UW1,2048,0.08612184946527723
UW1,3072,0.08287872060639827
UW1,4096,0.07950353983634291
UW2,2048,0.04890048245906148
UW2,3072,0.024468445360670738
UW2,4096,0.014134982167277113
UW3,512,0.04263742533057558
UW3,1024,0.011577552119818415
UW3,2048,0.001742020141387381
UW3,2304,0.001234692270810293
UW3,2560,0.000905601614266422
