scheme,N,L1_error
DRP,64,0.1291710683552999
DRP,128,0.0991827775024752
DRP,256,0.0673172781288376
DRP,512,0.0114117729101156
DRP,1024,0.0008647964589165
DRP-M,64,0.1330642152013083
DRP-M,128,0.1068849520862254
DRP-M,256,0.0198296427317221
DRP-M,512,0.0040087146885152
DRP-M,1024,0.0003510950325213
MDCD,64,0.0855762395054672
MDCD,128,0.0774171764743615
MDCD,256,0.0333942314258463
MDCD,512,0.0070785103374538
MDCD,1024,0.0005633035480249
SA-DRP,64,0.0955334812644339
SA-DRP,128,0.1027536193205056
SA-DRP,256,0.0432190901045243
SA-DRP,512,0.0016659956342765
SA-DRP,1024,2.881806284671764e-05
Compact6,64,0.11506133969226143
Compact6,128,0.07743034746964957
Compact6,256,0.008742875263033766
Compact6,512,0.00013447032475320158
Compact6,1024,2.4870207501123676e-06
