N,scheme,L1_error
128,Compact8,0.05925557335190451
160,Compact8,0.031150681958329273
192,Compact8,0.012965578138998872
224,Compact8,0.005246144504615378
256,Compact8,0.0018268047504306126
288,Compact8,0.000722615050159275
320,Compact8,0.0003282384319283783
352,Compact8,0.0001627060553817899
384,Compact8,8.858364456480663e-05
416,Compact8,5.236864989160182e-05
448,Compact8,3.286967487007758e-05
480,Compact8,2.1894294646477668e-05
512,Compact8,1.5254483135227924e-05
544,Compact8,1.1020046179721264e-05
576,Compact8,8.230434374115462e-06
608,Compact8,6.289733025950395e-06
640,Compact8,4.920847489888261e-06
672,Compact8,3.918742524119813e-06
704,Compact8,3.170182915623403e-06
736,Compact8,2.598783842226877e-06
768,Compact8,2.15388469622394e-06
800,Compact8,1.8063031509830963e-06
832,Compact8,1.5253346186951496e-06
864,Compact8,1.3001518994576364e-06
896,Compact8,1.1141392923290114e-06
928,Compact8,9.618579111045787e-07
960,Compact8,8.357199394994075e-07
992,Compact8,7.291590161321913e-07
1024,Compact8,6.394976140680934e-07
